,TIME,CAP,TEX,CAN,LIS,SAL,STO,TAL,VES,REY,LON,SIC,KK,LAU,SPL,PET
3262,11:54:22,26.5756,10.3342,-187.081,-12.95,25.4748,-42.3782,4.82065,-182.858846,-18.2741,-22.2597,-4.32096,13.5801,17.4914,39.8666,35.3886
3263,11:54:23,27.0106,10.7627,-188.063,-11.805,25.9735,-41.7612,4.81959,-197.587882,-20.4891,-25.3822,-4.44785,12.8678,16.8708,41.6956,33.9948
3264,11:54:24,29.2845,11.39,-191.097,-10.71,25.3744,-42.7468,5.58846,-187.294251,-23.332,-26.2804,-4.49966,11.0714,14.9715,40.7835,33.5208
3265,11:54:25,32.2467,13.22,-194.747,-9.031,25.7894,-42.7595,6.17452,-172.055386,-26.38,-26.7029,-3.78552,11.2277,14.0936,38.4548,34.4009
3266,11:54:26,35.6045,15.2667,-197.675,-8.299,26.0728,-43.388,7.40891,-157.066493,-29.0157,-28.1538,-2.19226,11.8794,13.4999,36.2174,35.7605
3267,11:54:27,36.3122,17.4374,-201.145,-3.546,25.4803,-44.2847,6.86773,-134.841696,-32.1772,-30.7073,0.477518,12.2133,13.0022,35.6493,35.7978
3268,11:54:28,37.0539,18.4221,-206.207,0.659,24.0711,-44.2394,7.13025,-121.19141,-35.5052,-33.5324,2.31734,11.8347,12.285,36.4845,34.4791
3269,11:54:29,39.8616,18.9654,-211.422,-0.164,23.0037,-44.906,9.54612,-113.233475,-37.8237,-34.9207,3.0832,12.3016,10.9818,37.167,32.6881
3270,11:54:30,39.603,18.7632,-214.638,-0.334,21.7455,-45.0464,9.31521,-106.36885,-40.4246,-35.0216,3.71831,12.6799,9.32569,37.3957,31.0924
3271,11:54:31,39.789,18.0727,-215.884,0.652,20.0358,-45.394,10.7425,-105.076018,-41.6601,-35.0773,3.35732,11.7152,6.64911,35.5941,29.4841
3272,11:54:32,41.0625,16.6042,-216.279,0.919,17.7316,-46.536,9.72102,-112.131593,-41.7758,-35.3822,4.17283,11.3308,5.15956,34.3506,28.669
3273,11:54:33,41.0198,16.0324,-213.204,0.889,15.3877,-48.8722,7.81824,-126.434184,-43.536,-36.1927,5.14354,10.7548,4.03055,33.5662,26.6573
3274,11:54:34,39.1576,15.7981,-204.869,0.784,13.0753,-50.6669,7.56704,-142.781735,-44.8219,-36.3937,6.13046,11.3064,3.2803,33.8326,25.1352
3275,11:54:35,35.7541,15.1564,-195.607,3.273,11.9991,-52.1861,8.09047,-145.900131,-46.9928,-36.3033,6.46767,13.3955,2.74019,34.3811,23.4497
3276,11:54:36,33.3454,14.7011,-185.593,3.405,10.712,-52.9171,7.61244,-139.043159,-49.2825,-34.3578,6.00828,14.2171,1.52749,35.3389,22.9343
3277,11:54:37,31.9122,13.9425,-177.974,2.766,7.94098,-53.5234,8.90867,-135.324013,-50.1534,-31.7097,6.35517,14.4498,-0.915388,34.2054,23.2498
3278,11:54:38,30.8874,13.5359,-171.366,5.495,7.02157,-53.7479,7.2839,-137.572161,-52.203,-27.6387,5.60684,15.6571,-1.45197,32.6581,23.7576
3279,11:54:39,28.9461,13.765,-168.222,7.382,4.65301,-52.4004,8.81153,-135.752675,-54.4219,-22.8616,5.87941,15.8035,0.449679,31.8191,23.2135
3280,11:54:40,29.1078,13.673,-168.837,6.033,4.27326,-50.7347,10.7807,-140.594483,-56.5631,-19.2065,5.61069,14.8515,2.41684,31.3562,22.3561
3281,11:54:41,29.1885,13.8668,-171.624,3.7,1.94283,-47.1323,12.0837,-159.362625,-59.8761,-15.9284,5.4308,14.4028,2.84324,30.552,21.8208
3282,11:54:42,30.8256,15.0878,-176.438,4.052,1.24494,-42.666,12.5423,-170.640977,-60.4959,-13.5156,7.16608,15.3866,2.80976,29.5034,20.9862
3283,11:54:43,31.8516,15.8221,-183.299,5.53,0.420034,-38.8004,13.4457,-163.964806,-61.9925,-12.0843,7.25092,16.2651,2.95036,28.1139,21.4787
3284,11:54:44,28.7415,16.0825,-192.192,4.877,0.315367,-36.642,12.6081,-152.139321,-61.5321,-12.8514,7.26199,18.4649,4.17329,26.6797,23.1224
